ProductNumber,ProductArName,ProductEnName,BrandName,CounrtyEn,PackageVolume,UnitEn,manufactureenglishname,ListedNameEn
2015-0140114-000138,بيوريبير معجون أسنان مزيل لحساسية الأسنان,Biorepair fast sensitive repair toothpaste,بيوريبير,Italy,75,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140114-000140,   بيزلّين معجون أسنان نباتي، للّثة والأسنان الحسا,"Beesline, Toothpaste, 100% Vegetal, for sensitive ",بيزلين,Lebanon,35,Gram (g),  Beesline International S.A.L,Medical and Pharmaceutical Services Co.
2015-0140114-000141,بارودونتكس معجون اسنان تبييض لطيف,Parodontax toothpaste Gentle Whitening,Parodontax,Thailand,100,Milliliter (ml),Neocosmed Co. Ltd,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000144,سنسوداين معجون اسنان عناية متعددة +تبييض الاسنان,Sensodyne toothpaste Multi Care+Whitening,Sensodyne,Egypt,75,Milliliter (ml),EVA Cosmetics Co,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000145,سنسوداين معجون اسنان تبييض لطيف ,Sensodyne toothpaste Gentle Whitening ,Sensodyne,United Kingdom,100,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000146,سنسوداين معجون أسنان عناية متعددة,Sensodyne Toothpaste Multi Care,Sensodyne,United Kingdom,100,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000147,بارودونتكس معجون اسنان تبييض لطيف,Parodontax toothpaste Gentle Whitening,Parodontax,Thailand,50,Milliliter (ml),Neocosmed Co. Ltd,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000148,سنسوداين معجون أسنان فلورايد,Sensodyne Toothpaste Fluoride,Sensodyne,United Kingdom,100,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000149,سنسوداين معجون أسنان فلورايد,Sensodyne Toothpaste Fluoride,Sensodyne,Egypt,75,Milliliter (ml),EVA Cosmetics Co,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000150,سنسوداين معجون أسنان عناية متعددة,Sensodyne Toothpaste Multi Care,Sensodyne,Egypt,75,Milliliter (ml),EVA Cosmetics Co,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000151,سنسوداين معجون أسنان إنتعاش زائد,Sensodyne Toothpaste Extra Fresh,Sensodyne,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000152,سنسوداين معجون أسنان إنتعاش زائد,Sensodyne Toothpaste Extra Fresh,Sensodyne,Slovakia,100,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000153,سنسوداين معجون اسنان تزميم و حماية,Sensodyne toothpaste Repair & Protect,Sensodyne,United Kingdom,75,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000154,سنسوداين معجون اسنان عادي,Sensodyne toothpaste Original,Sensodyne,Egypt,75,Milliliter (ml),EVA Cosmetics Co,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140124-000155, ليستيرين غسول الفم  توتال كير زيرو,Listerine Mouthwash Total Care Zero,Listerine,Italy,500,Milliliter (ml),Johnson & Johnson SpA Italy,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000156,أكوافريش معجون أسنان منعش وبنكهة النعناع,Aquafresh Toothpaste Fresh & Minty,Aquafresh,Slovakia,125,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000157,سنسوداين  معجون اسنان  ترميم و حماية انتعاش زائد,Sensodyne toothpaste Repair & Protect Extra Fresh,Sensodyne,United Kingdom,75,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000158,أكوافريش معجون أسنان لطيف وبنكهة النعناع,Aquafresh Toothpaste Mild & Minty,Aquafresh,Slovakia,125,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000159,سنسوداين معجون اسنان ترميم و حماية مع تبييض,Sensodyne toothpaste Repair & Protect Whitening,Sensodyne,United Kingdom,75,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000160,أكوافريش معجون أسنان الأسنان اللبنية,Aquafresh Toothpaste Milk Teeth,Aquafresh,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000161,سنسوداين معجون أسنان  حماية متكاملة ,Sensodyne toothpaste Complete Protection,Sensodyne,United Kingdom,75,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000162,أكوافريش معجون أسنان بياض ناصع,Aquafresh Toothpaste Intense White,Aquafresh,United Kingdom,125,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000163,سنسوداين معجون اسنان حماية متكاملة انتعاش زائد,Sensodyne toothpaste Complete Protection Extra Fre,Sensodyne,United Kingdom,75,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000164,أكوافريش معجون أسنان الأسنان الصغيرة,Aquafresh Toothpaste Little Teeth,Aquafresh,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000165,سنسوداين معجون اسنان عناية متعددة+ تبييض الاسنان,Sensodyne toothpaste Multi Care + Whitening,Sensodyne,United Kingdom,50,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000166,سنسوداين معجون اسنان عناية متعددة + تبييض الاسنان,Sensodyne toothpaste Multi Care + Whitening,Sensodyne,United Kingdom,100,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000167,بارودونتكس معجون اسنان فلورايد,Parodontax toothpaste Fluoride,Parodontax,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000168,بارودونتكس معجون اسنان فلورايد,Parodontax toothpaste Fluoride,Parodontax,Slovakia,100,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000169,بارودونتكس معجون اسنان الاصلي ,Parodontax toothpaste Original,Parodontax,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000170,سنسوداين معجون اسنان عناية متعددة +تبييض الاسنان,Sensodyne toothpaste Multi Care + Whitening,Sensodyne,Egypt,75,Milliliter (ml),EVA Cosmetics Co,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000171,سنسوداين معجون أسنان واقي المينا حماية يومية,Sensodyne Toothpaste Pronamel Daily Protection,Sensodyne,United Kingdom,75,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000172,أكوافريش معجون أسنان الأسنان الكبيرة,Aquafresh Toothpaste Big Teeth,Aquafresh,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140124-000173,بارودونتكس غسول فم اكسترا,Parodontax mouthwash Extra,Parodontax,Germany,300,Milliliter (ml),Omega Pharma Manufacturing GmbH Co. KG,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000175,سنسوداين معجون اسنان ترو وايت نعناع ,Sensodyne toothpaste True White Mint,Sensodyne,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000177,سنسوداين معجون أسنان واقي المينا 6+ سنوات  ,Sensodyne Toothpaste Pronamel 6+ Years,Sensodyne,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000178,سنسوداين معجون أسنان واقي المينا تبييض لطيف ,Sensodyne Toothpaste Pronamel Gentle Whitening,Sensodyne,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000179,سنسوداين معجون أسنان واقي المينا إنتعاش أكثر,Sensodyne Toothpaste Pronamel Extra Freshness,Sensodyne,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140124-000181,سنسوداين غسول فم نعناع لطيف,Sensodyne mouthwash Cool Mint,Sensodyne,United Kingdom,500,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140124-000191,سنسوداين غسول فم انتعاش زائد,Sensodyne mouthwash Extra Fresh,Sensodyne,United Kingdom,500,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140124-000195,بارودونتكس غسول الفم  اليومي ,Parodontax mouthwash Daily ,Parodontax,Germany,300,Milliliter (ml),Omega Pharma Manufacturing GmbH Co. KG,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000196,لاكالوت فلور توثبيست,Lacalut fluor toothpaste,لاكالوت,Germany,75,Milliliter (ml),DR.THEISS NATURWAREN GMBH,Manayer Najd Trading & medical Needs co
2015-0140114-000201,بيوريبير معجون أسنان للأطفال,Biorepair toothpaste junior,بيوريبير,Italy,50,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140124-000202,بيوريبير غسول الفم,Biorepair mouthwash with microrepair,بيوريبير,Italy,250,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140114-000204,أكوافريش غسول الفم عناية مضافة,Aquafresh Mouthwash Extra Care,Aquafresh,United Kingdom,500,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000207,لاكلالوت معجون أسنان خالي من السكر للأطفال حتى 4 س,Lacalut Tooth paste without Sugar baby to 4 years,Lacalut,Germany,50,Milliliter (ml),DR.THEISS NATURWAREN GMBH,Manayer Najd Trading & medical Needs co
2015-0140114-000209,سنسوداين معجون اسنان ايزو اكتيف لتبييض الاسنان  ,Sensodyne toothpaste ISO Active Whitening,Sensodyne,United States,100,Milliliter (ml),"Oratech LLC, USA",Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140134Code6-000210,بلانكس وايت شوك معجون أسنان للتبييض السريع,Blanx white shock non abrasive toothpaste ,بلانكس,Italy,75,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140114-000211,سنسوداين معجون أسنان جل,Sensodyne Toothpaste Gel,Sensodyne,United Kingdom,100,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140134Code6-000212,بلانكس غسول الفم المبيض للأسنان بتأثير الضوء,Blanx white shock light activated whitening mouthw,بلانكس,Italy,500,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140114-000213,سنسوداين معجون أسنان جل,Sensodyne Toothpaste Gel,Sensodyne,United Kingdom,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000214,بارودونتكس معجون اسنان الاصلي,Parodontax toothpaste Original,Parodontax,Slovakia,100,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000215,سنسوداين معجون أسنان فلورايد,Sensodyne Toothpaste Fluoride,Sensodyne,United Kingdom,50,Milliliter (ml),GSK Consumer Healthcare,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140134Code6-000217,بلانكس وايت شوك معجون أسنان مبيض 50 مل,Blanx white shock toothpaste,بلانكس,Italy,50,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140134Code6-000218,بلانكس وايت شوك معالج التبييض المكثف,Blanx white shock treatment,بلانكس,Italy,30,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140114-000219,بارودونتكس معجون اسنان فلورايد,Parodontax toothpaste Fluoride,Parodontax,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000220,بارودونتكس معجون اسنان للتبييض ,Parodontax toothpaste Whitening,Parodontax,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000221,بارودونتكس معجون اسنان الاصلي ,Parodontax toothpaste Original,Parodontax,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000222,بارودونتكس معجون اسنان انتعاش زائد   ,Parodontax toothpaste Extra Fresh,Parodontax,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000225,سنسوداين معجون أسنان جل,Sensodyne Toothpaste Gel,Sensodyne,Egypt,75,Milliliter (ml),EVA Cosmetics Co,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140124-000226,سنسوداين غسول فم لطيف,Sensodyne mouthwash Gentle mouthrinse,Sensodyne,Germany,300,Milliliter (ml),Omega Pharma Manufacturing GmbH Co. KG,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000228,لاكالوت سينسيتيف توثبيست,Lacalut sensitive toothpaste,Lacalut,Germany,75,Milliliter (ml),DR.THEISS NATURWAREN GMBH,Manayer Najd Trading & medical Needs co
2015-0140114-000229,كلوس اب معجون اسنان انتعاش ثلجي نسمة الشتاء,Close up toothpaste ICY WHITE Winter Blast  ,close up,Egypt,100,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000230,كلوس اب معجون اسنان انتعاش ثلجي قوة النعناع,close up toothpaste Icy white menthol brust,close up,Egypt,100,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000231,بارودونتكس معجون اسنان جل فعال ,Parodontax toothpaste Active Gel,Parodontax,Slovakia,50,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000232,معجون أسنان بيضاء على الفور,WHITE NOW toothpaste,CLOSE UP,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-014015401541-000235,بيوريبير بلص بارودونت جل للعناية باللثة وأنسجة الف,Biorepair plus parodontgel for gums and oral mucos,بيوريبير,Italy,50,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140134Code6-000257,بلانكس معجون أسنان مبيض للأسنان الحساسة,Blanx whitening toothpaste for sensitive teeth,بلانكس,Italy,75,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140114-000258,معجون اسنان اطفال-فراولة,kids toothpaste strawberry  ,Signal,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140124-000259,بارودونتكس غسول الفم اليومي ,Parodontax Mouthwash Daily,Parodontax,Germany,300,Milliliter (ml),Omega Pharma Manufacturing GmbH Co. KG,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140124-000266,بارودونتكس غسول فم اكسترا,Parodontax Mouthwash Extra,Parodontax,Germany,300,Milliliter (ml),Omega Pharma Manufacturing GmbH Co. KG,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000282,لاكالوت اكتف ماوث ووش,Lacalut aktiv mouthwash,Lacalut,Germany,300,Milliliter (ml),DR.THEISS NATURWAREN GMBH,Manayer Najd Trading & medical Needs co
2015-0140114-000289,سنسوداين معجون أسنان مفعول سريع ,Sensodyne Toothpaste Rapid Action,Sensodyne,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000290,سنسوداين معجون أسنان مفعول سريع,Sensodyne Toothpaste Rapid Action,Sensodyne,Egypt,75,Milliliter (ml),EVA Cosmetics Co,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140134Code6-000291,بلانكس معجون أسنان مبيض للتصبغات الكثيفة,Blanx toothpaste intensive stain removal,بلانكس,Italy,75,Milliliter (ml), Coswell SpA,Medical and Pharmaceutical Services Co.
2015-0140114-000296,سنسوداين معجون اسنان ترو وايت انتعاش زائد,Sensodyne Toothpaste True White Extra Fresh,Sensodyne,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000305,كلوس اب معجون اسنان احساس مزدوج دافئ وبارد,close up toothpaste fire+freeze ,close up,Egypt,100,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000306,سنسوداين معجون اسنان ترو وايت نعناع ,Sensodyne toothpaste True White Mint,Sensodyne,Slovakia,75,Milliliter (ml),De Miclen s.r.o.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2015-0140114-000310,كلوس اب معجون اسنان احساس مزدوج دافئ وبارد,close up toothpaste fire+freeze ,close up,Egypt,100,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000311,كلوس اب معجون اسنان انتعاش النعناع البارد,Close up toothpaste white now ice cool mint ,CLOSE UP,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000312,كلوس اب معجون اسنان  دايموند اتراكشن,close up toothpaste Diamond Attraction power white,close up,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000316,سيجنال معجون اسنان اطفال بالفراولة,signal toothpaste for kids strawberry,Signal,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000357,سيجنال معجون اسنان الاصلي المتخصص للاسنان الحساسة,signal toothpaste sensitive expert orginal,Signal,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000369,سيجنال معجون اسنان عناية متكاملة للاسنان الحساسة,Signal toothpaste Sensitive Expert Total ,Signal,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000374,سيجنال معجون اسنان مكافح للتسوس,signal toothpaste cavity fighter,Signal,Egypt,25,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000375,سيجنال معجون اسنان للاسنان الحساسة عناية اللثة,signal toothpaste sensitive expert gum care,Signal,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000382,سيجنال معجون اسنان للاسنان الحساسة عناية المينا,Signal toothpaste Sensitive Expert enamel care,Signal,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000390,سيجنال معجون اسنان للاسنان الحساسة انتعاش,Signal toothpaste Sensitive Expert Fresh ,Signal,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140114-000442,كلوس اب معجون اسنان نفس منعش اسنان اقوى ابتسامة بي,close up toothpaste milk calcium,CLOSE UP,Egypt,120,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2015-0140134Code6-000499,ا ي و ا يت الفوري  ,Iwhite Instant teeth whitening,Sylphar NV,Belgium,10,Wipes ,Sylphar nv,Netaq Al-geldia trading LLC
2017-014015401541-062489,مرطب شفاة,Lip Balm Rasberry,COOL&COOL,Germany,4,Gram (g),ABC International Limited,Jaaz Trading Est.
2017-0140114-062496,معجون الاسنان الحساسه,BIO2YOU Toothpaste Sensitive bio active natural mu,BIO2YOU ,Latvia,100,Milliliter (ml),BIO2YOU,wajn Aloula
2017-0140124Code5-062527,رونى فارما رونى سى فريشنير,Rony Pharma Rony C mouth Freshener,Rony Pharma,Egypt,60,Milliliter (ml),HI CARE PHARMACEUTICALS & COSMETICS,rokn altadawi first pharmacy
2017-0140124Code5-062527,رونى فارما رونى سى فريشنير,Rony Pharma Rony C mouth Freshener,Rony Pharma,Egypt,120,Milliliter (ml),HI CARE PHARMACEUTICALS & COSMETICS,rokn altadawi first pharmacy
2017-0140114-062536,سبلابروفيشنال التراكومبلكس معجون اسنان,SPLAT PROFESSIONAL ULTRACOMPLEX TOOTHPASTE,SPLAT PROFESSIONAL,Russia,100,Milliliter (ml),ORGANIC PHARMACEUTICALS,Arma Trading Est
2017-0140114-062642,سبلات بيبى معجون اسنان طبيعى تفاح - موز,SPLAT BABY NATURAL TOOTHPASTE APPLE BANANA,SPLAT BABY,Russia,40,Milliliter (ml),ORGANIC PHARMACEUTICALS,Arma Trading Est
2017-0140114-062658,سبلات معجون اسنان دافئ زنجبيل,SPLAT WARMING TOOTHPASTE GINGER,SPLAT,Russia,75,Milliliter (ml),ORGANIC PHARMACEUTICALS,Arma Trading Est
2017-0140124-062665,سبلات وايت بلاس عسول الفم ,SPLAT MOUTHWASH WHITE PLUS ,SPLAT,Russia,275,Milliliter (ml),ORGANIC PHARMACEUTICALS,Arma Trading Est
2018-0140114-103905,سنسوداين معجون أسنان واقي المينا 6+ سنوات  ,Sensodyne Toothpaste Pronamel 6+ Years,Sensodyne,United Arab Emirates,50,Milliliter (ml),Gulf Center Cosmetics Manufacturing L.L.C.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2016-0140114-036337,اوه وايت دايو وايت+وايتنق توثبيست ,Oh!white day white +whitening toothpaste ,Oh!white,Spain,75,Milliliter (ml),LABORATORIOS ENTEMA S.L.,AL-DAWAA Medical Services Co.Ltd
2016-0140114-036348,سباركل,Lush Sparkle Toothy Tab,LUSH,United Kingdom,12,Gram (g),Lush Manufacturing Limited,alsaati medical grup
2016-04-001075,كولجيت معجون الأسنان،حماية مجوفة,"Colgate Toothpaste , Great Regular Flavour, Cavity",Colgate,Thailand,25,Gram (g)," Shantou New Oriental Hotel Amenities Co., Ltd",alpha Sky
2016-0140114-036405,معجون اسنان فريش بطعم التوت,fresh tooth paste with cranberry flavour,fresh ,Egypt,50,Gram (g),My way Egypt for cometic products,Amarij Trading EST
2016-0140124-036478,اوه وايت هوم كير كلوكس وايت+وايتنق  ماوث ووش ,Oh!white home caer coluxwhite+whitening mouthwash,Ohwite ,Spain,500,Milliliter (ml),LABORATORIOS ENTEMA S.L.,AL-DAWAA Medical Services Co.Ltd
2019-02-017246,كولجيت بلاكس فريش منت غسول للفم للإستعمال اليومي,Colgate Plax  Fresh Mint (Menthe Fraiche),COLGATE,Thailand,250,Milliliter (ml),colgate palmolive,Nesmat Rawaya For Wholsale &Retail Trade
2019-02-017246,غسول الفم كولجيت توتال ١٢ برو للثة صحيه,Colgate Total PRO-GUM HEALTH Mouthwash,COLGATE,Thailand,250,Milliliter (ml),colgate palmolive,Nesmat Rawaya For Wholsale &Retail Trade
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2019-02-017253,مود ماتشر احمر شفاه سائل مت,Moodmatcher Liquid Matte lipstick,Moodmatcher Liquid Matte,United States,3,Milliliter (ml),Beauty Solutions Ltd.,LIFE GATE MEDICAL EST.
2015-0140114-000521,دابر الأعشاب معجون أسنان - بالنيم,Dabur Herb'l Natural Toothpaste - Neem,Dabur Herb'l Natural Toothpaste - Neem,United Arab Emirates,150,Gram (g),Naturelle LLC ,Khalifa Abdul Rahman Al Gosaibi Cold Stores
2015-0140114-000544,كولجيت الوقاية من التسوس بالفلورايد النشط و الكالس,"Colgate Toothpaste , Great Regular Flavour, Cavity",Colgate,Poland,100,Milliliter (ml),COLGATE-PALMOLIVE MANUFACTURING (POLAND) SPÖLKAZ,General Trading Company
2015-0140114-000552, كولجيت معجون اسنان للأطفال ضد التسوس ٦+ سنوات ,Colgate Anticavity Toothpaste for Kids 6+ years,Colgate,Poland,50,Milliliter (ml),COLGATE-PALMOLIVE MANUFACTURING (POLAND) SPÖLKAZ,General Trading Company
2015-0140114-000553,معجون اسنان كولجيت اوبتك وايت انستانت,"Colgate OPTIC WHITE INSTANT Toothpaste, 75 ml ",Colgate,Poland,75,Milliliter (ml),COLGATE-PALMOLIVE MANUFACTURING (POLAND) SPÖLKAZ,General Trading Company
2015-0140114-000554,دابر الأعثاب معجون الاسنان الطبيعي ,Dabur Herb'l Natural Smokers Natural Toothpaste,Dabur Herb'l Natural Smokers Natural Toothpaste,United Arab Emirates,150,Gram (g),Naturelle LLC ,Khalifa Abdul Rahman Al Gosaibi Cold Stores
